id,crop_id,plate_id,spacing_id,population_id,speed_value,result
AAB126,9b9962df,35ae0e2e,9af624b1,AB004,"3,5 km/h",No (Suba la velocidad)
AAB127,9b9962df,35ae0e2e,9af624b1,AB004,4 km/h,No (Suba la velocidad)
AAB128,9b9962df,35ae0e2e,9af624b1,AB004,"4,5 km/h",No (Suba la velocidad)
AAB129,9b9962df,35ae0e2e,9af624b1,AB004,5 km/h,Si (Velocidad Minima)
AAB130,9b9962df,35ae0e2e,9af624b1,AB004,"5,5 km/h",Si
AAB131,9b9962df,35ae0e2e,9af624b1,AB004,6 km/h,Si
AAB132,9b9962df,35ae0e2e,9af624b1,AB004,"6,5 km/h",Si
AAB133,9b9962df,35ae0e2e,9af624b1,AB004,7 km/h,Si
AAB134,9b9962df,35ae0e2e,9af624b1,AB004,"7,5 km/h",Si
AAB135,9b9962df,35ae0e2e,9af624b1,AB004,8 km/h,Si
AAB136,9b9962df,35ae0e2e,9af624b1,AB004,"8,5 km/h",Si
AAB137,9b9962df,35ae0e2e,9af624b1,AB004,9 km/h,Si
AAB138,9b9962df,35ae0e2e,9af624b1,AB004,"9,5 km/h",Si
AAB139,9b9962df,35ae0e2e,9af624b1,AB004,10 km/h,Si
AAB140,9b9962df,35ae0e2e,9af624b1,AB004,"10,5 km/h",Si
AAB141,9b9962df,35ae0e2e,9af624b1,AB004,11 km/h,Si
AAB142,9b9962df,35ae0e2e,9af624b1,AB004,"11,5 km/h",Si
AAB143,9b9962df,35ae0e2e,9af624b1,AB004,12 km/h,Si
AAB144,9b9962df,35ae0e2e,9af624b1,AB004,"12,5 km/h",Si
AAB145,9b9962df,35ae0e2e,9af624b1,AB004,13 km/h,Si
AAB146,9b9962df,35ae0e2e,9af624b1,AB004,"13,5 km/h",Si
AAB147,9b9962df,35ae0e2e,9af624b1,AB004,14 km/h,Si
AAB148,9b9962df,35ae0e2e,9af624b1,AB004,"14,5 km/h",Si
AAB149,9b9962df,35ae0e2e,9af624b1,AB004,15 km/h,Si
AAB150,9b9962df,35ae0e2e,9af624b1,AB005,"0,5  km/h",No (Suba la velocidad)
AAB151,9b9962df,35ae0e2e,9af624b1,AB005,1 km/h,No (Suba la velocidad)
AAB152,9b9962df,35ae0e2e,9af624b1,AB005,"1,5 km/h",No (Suba la velocidad)
AAB153,9b9962df,35ae0e2e,9af624b1,AB005,2 km/h,No (Suba la velocidad)
AAB154,9b9962df,35ae0e2e,9af624b1,AB005,"2,5 km/h",No (Suba la velocidad)
AAB155,9b9962df,35ae0e2e,9af624b1,AB005,3 km/h,No (Suba la velocidad)
AAB156,9b9962df,35ae0e2e,9af624b1,AB005,"3,5 km/h",No (Suba la velocidad)
AAB157,9b9962df,35ae0e2e,9af624b1,AB005,4 km/h,No (Suba la velocidad)
AAB158,9b9962df,35ae0e2e,9af624b1,AB005,"4,5 km/h",No (Suba la velocidad)
AAB159,9b9962df,35ae0e2e,9af624b1,AB005,5 km/h,Si (Velocidad Minima)
AAB160,9b9962df,35ae0e2e,9af624b1,AB005,"5,5 km/h",Si
AAB161,9b9962df,35ae0e2e,9af624b1,AB005,6 km/h,Si
AAB162,9b9962df,35ae0e2e,9af624b1,AB005,"6,5 km/h",Si
AAB163,9b9962df,35ae0e2e,9af624b1,AB005,7 km/h,Si
AAB164,9b9962df,35ae0e2e,9af624b1,AB005,"7,5 km/h",Si
AAB165,9b9962df,35ae0e2e,9af624b1,AB005,8 km/h,Si
AAB166,9b9962df,35ae0e2e,9af624b1,AB005,"8,5 km/h",Si
AAB167,9b9962df,35ae0e2e,9af624b1,AB005,9 km/h,Si
AAB168,9b9962df,35ae0e2e,9af624b1,AB005,"9,5 km/h",Si
AAB169,9b9962df,35ae0e2e,9af624b1,AB005,10 km/h,Si
AAB170,9b9962df,35ae0e2e,9af624b1,AB005,"10,5 km/h",Si
AAB171,9b9962df,35ae0e2e,9af624b1,AB005,11 km/h,Si
AAB172,9b9962df,35ae0e2e,9af624b1,AB005,"11,5 km/h",Si
AAB173,9b9962df,35ae0e2e,9af624b1,AB005,12 km/h,Si
AAB174,9b9962df,35ae0e2e,9af624b1,AB005,"12,5 km/h",Si
AAB175,9b9962df,35ae0e2e,9af624b1,AB005,13 km/h,Si
AAB176,9b9962df,35ae0e2e,9af624b1,AB005,"13,5 km/h",Si
AAB177,9b9962df,35ae0e2e,9af624b1,AB005,14 km/h,Si
AAB178,9b9962df,35ae0e2e,9af624b1,AB005,"14,5 km/h",Si
AAB179,9b9962df,35ae0e2e,9af624b1,AB005,15 km/h,Si
AAB180,9b9962df,35ae0e2e,9af624b1,AB006,"0,5  km/h",No (Suba la velocidad)
AAB181,9b9962df,35ae0e2e,9af624b1,AB006,1 km/h,No (Suba la velocidad)
AAB182,9b9962df,35ae0e2e,9af624b1,AB006,"1,5 km/h",No (Suba la velocidad)
AAB183,9b9962df,35ae0e2e,9af624b1,AB006,2 km/h,No (Suba la velocidad)
AAB184,9b9962df,35ae0e2e,9af624b1,AB006,"2,5 km/h",No (Suba la velocidad)
AAB185,9b9962df,35ae0e2e,9af624b1,AB006,3 km/h,No (Suba la velocidad)
AAB186,9b9962df,35ae0e2e,9af624b1,AB006,"3,5 km/h",Si (Velocidad Minima)
AAB187,9b9962df,35ae0e2e,9af624b1,AB006,4 km/h,Si
AAB188,9b9962df,35ae0e2e,9af624b1,AB006,"4,5 km/h",Si
AAB189,9b9962df,35ae0e2e,9af624b1,AB006,5 km/h,Si
AAB190,9b9962df,35ae0e2e,9af624b1,AB006,"5,5 km/h",Si
AAB191,9b9962df,35ae0e2e,9af624b1,AB006,6 km/h,Si
